CPF_PARTICIPANTE,ID_ATIVIDADE,CPF_CONVIDANTE_INTERNO,DATA_INSCRICAO
26640274411,8,96078999622,2023-10-14
13931003688,15,15916018944,2023-08-30
27191090700,11,,2023-07-24
36158932800,12,,2023-08-08
36158932800,5,,2023-12-05
36158932800,10,,2023-09-13
10534533100,13,,2023-11-25
10534533100,4,,2023-08-12
10534533100,11,89684342800,2023-11-25
13066832700,8,,2023-01-21
13066832700,6,,2023-05-23
13066832700,15,,2023-12-27
51254582522,13,88243285200,2023-05-24
73643428500,13,,2023-06-22
45168324022,1,,2023-04-11
65997511999,10,,2023-10-29
65997511999,2,60844568200,2023-09-12
63377786266,4,,2023-07-11
63377786266,15,,2023-09-09
93152261866,10,69068228533,2023-03-06
93152261866,4,,2023-05-13
26875440277,14,,2023-10-10
26875440277,3,,2023-08-04
26875440277,12,78091391422,2023-03-03
97661307600,8,97661147066,2023-08-05
50415769399,15,,2023-07-05
50415769399,14,,2023-08-14
50415769399,4,41479030100,2023-05-16
72134394133,10,18914649499,2023-06-14
30058297077,1,72234811377,2023-09-28
30058297077,10,,2023-04-01
25779944199,4,32285320977,2023-02-24
62748129388,3,,2023-09-09
62748129388,8,44668846688,2023-08-09
62748129388,7,,2023-06-07
97738941699,9,,2023-05-29
97738941699,3,,2023-03-19
28341807099,2,10782927799,2023-02-12
28341807099,8,59845299200,2023-08-08
28341807099,4,13821523700,2023-03-23
67003729922,13,72101305433,2023-08-02
69511486600,10,40017263511,2023-09-12
35438628988,3,,2023-04-01
35438628988,5,76564913500,2023-02-05
36206107388,11,49835283188,2023-08-12
36206107388,10,,2023-12-09
36206107388,1,,2023-06-10
74909697944,10,50587728922,2023-04-17
74909697944,1,,2023-05-04
61791389666,5,,2023-01-20
87504287211,7,,2023-08-07
87504287211,2,,2023-09-17
87504287211,4,57273142911,2023-01-17
44968548999,15,81810581600,2023-10-09
61454989600,16,47987418844,2023-10-29
99798598144,14,46642640899,2023-06-27
35952328100,8,,2023-02-06
62986871222,13,96903226644,2023-08-09
62986871222,7,22326543111,2023-12-05
46835518377,7,,2023-01-22
75893556155,8,66594138800,2023-07-22
75893556155,2,33796639211,2023-02-06
52986166400,9,,2023-11-28
52986166400,10,,2023-08-30
52986166400,16,46432994100,2023-12-16
14477968100,8,,2023-10-16
30662111933,9,,2023-07-28
73782307155,6,77696004800,2023-11-15
73782307155,4,,2023-08-14
65282796088,5,73261066499,2023-10-19
65282796088,11,,2023-07-21
65282796088,8,,2023-05-30
19958719233,12,41100249355,2023-12-27
67414601877,13,,2023-01-13
67414601877,3,,2023-11-13
48941539800,1,35459000100,2023-08-09
86134141844,8,,2023-03-27
86134141844,14,52896112233,2023-05-22
86134141844,15,,2023-10-13
19809245466,5,,2023-05-25
82401592733,15,18805134200,2023-09-30
82401592733,4,,2023-10-27
82401592733,6,52304431700,2023-07-03
84611606577,11,,2023-02-05
84611606577,16,71628479788,2023-07-12
34706575211,13,76887001911,2023-03-29
34706575211,15,16633313322,2023-05-29
34706575211,3,34667894199,2023-04-23
36360415766,12,,2023-03-29
69056880100,6,19942566488,2023-02-20
69056880100,7,27754766277,2023-03-31
44366787766,8,,2023-11-30
44366787766,7,,2023-05-26
39923889566,4,,2023-01-23
35740552777,11,32290050077,2023-01-11
37672325377,13,23410243944,2023-12-22
37672325377,3,97953173699,2023-01-20
37672325377,9,45746806522,2023-03-16
77590357055,14,82516059466,2023-11-17
10040246811,8,,2023-06-14
77920036711,15,,2023-10-25
19113015600,1,,2023-12-01
19113015600,15,,2023-07-17
27855616511,10,,2023-06-17
27855616511,1,47519734444,2023-09-21
28147896355,7,95529001311,2023-09-09
14170279599,13,31871661999,2023-06-27
53555361900,11,,2023-02-12
53555361900,6,,2023-08-14
45553787255,6,,2023-09-17
77965213166,14,35327011033,2023-10-28
95590218699,13,46188341700,2023-07-23
95590218699,4,,2023-02-02
95590218699,5,19067436066,2023-08-06
17217037800,13,,2023-02-28
17217037800,8,28526923411,2023-12-13
27728619377,3,40827011922,2023-05-21
27728619377,6,,2023-06-12
58138527199,11,71064946900,2023-06-09
79041032900,13,89733528066,2023-08-29
79041032900,11,,2023-06-02
26776881822,8,36850378977,2023-01-10
15984638700,4,55793894855,2023-09-07
18975375300,9,53344266200,2023-06-22
17786880200,8,69921057011,2023-04-18
27968518500,4,89574200700,2023-07-03
73899463344,15,,2023-06-09
73899463344,9,55097919777,2023-03-19
26764393244,16,38116840277,2023-12-24
26764393244,12,29344248633,2023-02-19
26764393244,8,,2023-11-04
33409426844,1,14352178377,2023-02-19
33409426844,7,,2023-03-20
33409426844,6,,2023-02-27
48511046933,9,84722196400,2023-10-06
48511046933,5,39395432922,2023-12-22
38384054044,10,,2023-11-25
38384054044,11,,2023-06-12
38384054044,9,47851513233,2023-02-27
70780330511,1,,2023-02-21
70780330511,2,,2023-11-26
72245051100,9,72653091977,2023-03-04
72245051100,1,16083543855,2023-08-01
60787741233,14,29055415399,2023-11-01
12716977699,10,,2023-05-25
12716977699,11,,2023-06-14
22468072044,3,57731337688,2023-05-17
41453662711,13,89003762099,2023-08-28
41453662711,6,37394443800,2023-02-16
49861603622,15,,2023-09-30
93738434277,8,,2023-01-22
93738434277,5,75154984711,2023-09-30
93738434277,9,,2023-08-17
57188497300,11,46639856455,2023-07-18
57188497300,14,,2023-05-12
66149438200,13,71907483933,2023-08-14
66149438200,7,,2023-04-02
66149438200,2,,2023-02-08
11629379555,5,,2023-07-14
11629379555,14,70432084244,2023-03-27
19771288744,4,38118151999,2023-08-21
79239615144,6,65126849233,2023-02-13
79239615144,14,,2023-08-01
79239615144,13,67158226544,2023-11-19
18197655555,7,,2023-05-17
18197655555,10,,2023-11-17
59394896644,11,,2023-05-28
59394896644,16,,2023-06-29
59394896644,7,,2023-04-06
68103322199,11,,2023-09-02
59829029699,8,40649060555,2023-10-24
34466981166,9,34822544944,2023-02-25
55891098411,2,59286933388,2023-08-28
55891098411,6,20938174466,2023-01-15
29319176644,1,40482021200,2023-02-16
95268182611,4,70551410522,2023-03-20
95268182611,14,,2023-06-12
22100160611,14,,2023-07-02
22100160611,9,,2023-09-23
22100160611,3,87760122044,2023-08-25
25499089966,11,82988798800,2023-04-28
52089364966,7,,2023-09-15
11640698700,4,,2023-12-01
80376752466,6,78907753000,2023-03-26
80376752466,12,,2023-06-14
86288895233,16,12054183422,2023-06-04
86288895233,13,99791387344,2023-04-04
86288895233,2,62378153255,2023-03-12
66884026700,5,24592741300,2023-10-26
66884026700,16,34443442955,2023-06-24
58307050799,12,,2023-03-03
20899579133,7,65898832622,2023-05-13
20899579133,4,,2023-01-16
28169563188,12,99741222100,2023-02-08
28169563188,8,43931458955,2023-05-12
28169563188,10,79388304455,2023-05-20
45544607977,6,,2023-03-03
45544607977,16,27078850888,2023-07-29
45544607977,11,,2023-12-04
96952571433,11,,2023-03-23
96952571433,1,40048490988,2023-06-16
56262438877,10,,2023-01-24
56262438877,9,80376462899,2023-11-28
56262438877,3,,2023-07-23
99338737333,15,66009858100,2023-07-06
61740627322,10,18533663311,2023-06-04
61740627322,16,17411494011,2023-10-22
61740627322,6,,2023-01-06
91496913177,4,30893127511,2023-04-23
91496913177,11,,2023-08-11
91496913177,15,37324120755,2023-11-15
24717722266,14,76533738444,2023-01-03
24717722266,10,91287051300,2023-02-02
24717722266,11,,2023-03-11
15233366177,16,37705839499,2023-06-20
15233366177,3,77903507222,2023-12-29
83325056311,3,,2023-07-03
83325056311,11,71890994766,2023-08-27
83325056311,15,61832897366,2023-10-31
44860835477,9,,2023-07-30
44860835477,8,,2023-05-24
44860835477,15,,2023-12-19
88893258877,16,19738687099,2023-10-29
88893258877,3,,2023-07-19
88893258877,6,,2023-11-23
35991580022,1,,2023-02-25
35991580022,10,,2023-03-25
35991580022,6,,2023-05-03
76338217100,2,,2023-07-16
76338217100,12,45809086000,2023-06-30
13862478200,16,46635964600,2023-01-28
31243005055,16,,2023-04-19
31243005055,12,,2023-09-07
32065828144,14,60743586800,2023-08-07
61759498899,4,58690912099,2023-01-17
61759498899,7,,2023-02-03
96009186355,7,,2023-02-03
96009186355,10,,2023-09-08
21134826144,10,,2023-01-06
48230874611,7,18558894399,2023-07-03
62067776500,1,,2023-06-23
51935898633,2,54658330922,2023-10-01
52685746988,3,,2023-11-05
52685746988,8,,2023-10-06
52685746988,5,17281991900,2023-12-26
70625942966,13,,2023-10-28
70625942966,15,,2023-12-29
70625942966,14,60075104766,2023-04-28
77632880866,6,,2023-12-08
77632880866,8,,2023-08-02
77632880866,15,11144741777,2023-12-26
15391046211,6,42336960522,2023-03-26
79294612388,10,,2023-03-24
79294612388,11,,2023-05-25
54899144911,9,,2023-08-23
42761844288,9,16610245722,2023-02-03
71175311699,13,79295055022,2023-06-25
71175311699,5,,2023-10-28
18651062322,12,97661147066,2023-11-17
18651062322,1,94748903155,2023-03-12
18651062322,13,,2023-10-11
29307168600,10,25776761311,2023-02-13
29307168600,7,59510453122,2023-06-28
29307168600,8,82429320188,2023-12-21
54608842099,12,54999239811,2023-07-11
83678697533,3,93569906700,2023-01-10
83678697533,8,,2023-06-22
36730970911,10,87405338322,2023-08-17
36730970911,5,60888940088,2023-08-28
36730970911,11,,2023-07-26
12729319433,4,55068042888,2023-11-07
12729319433,16,,2023-10-09
12729319433,10,,2023-07-28
91664671011,13,57731337688,2023-11-28
91664671011,6,,2023-11-21
91664671011,9,51211580688,2023-10-03
28490321233,4,,2023-08-12
12999667999,9,,2023-07-28
12999667999,16,,2023-07-27
12999667999,5,77976611544,2023-10-01
56713734255,16,82783451988,2023-09-14
56713734255,13,85851089166,2023-08-28
56713734255,4,13169583888,2023-02-20
93302095300,15,,2023-10-23
58316808433,2,,2023-07-21
58316808433,16,25313424788,2023-10-24
58316808433,10,,2023-02-01
89240886299,10,,2023-07-06
53264248433,7,,2023-12-30
91542813500,14,,2023-01-18
91542813500,2,62923220500,2023-12-30
41020833400,13,78894087811,2023-08-11
41020833400,10,90907593011,2023-10-27
57737262899,8,89174043755,2023-04-05
57737262899,16,49400670333,2023-04-25
57737262899,6,,2023-02-25
79732366866,9,29681520255,2023-10-18
79732366866,10,48795118466,2023-09-10
80588011000,8,33606833233,2023-03-18
79344776199,15,,2023-12-09
79344776199,1,22124884911,2023-08-07
79344776199,16,16083787722,2023-12-30
80294459111,5,92667960266,2023-09-13
80294459111,11,67791920588,2023-11-18
26989847166,12,19070570133,2023-01-15
29571835877,4,,2023-01-28
29571835877,12,,2023-06-23
45184136799,4,19762075844,2023-06-08
45184136799,12,,2023-06-01
71200638988,11,,2023-02-08
13089584555,6,63242360300,2023-08-03
13089584555,3,,2023-04-12
13089584555,14,59238547911,2023-08-14
10953746722,2,,2023-05-31
10953746722,3,,2023-05-23
47022163411,16,21814165322,2023-04-17
47022163411,8,,2023-02-22
98346174022,3,87407659111,2023-12-12
28240902600,14,,2023-01-19
28240902600,2,,2023-04-15
28240902600,15,64208193855,2023-01-17
87220554011,3,27946635344,2023-01-27
87220554011,8,59200482711,2023-02-24
88593899177,16,52868861911,2023-12-08
61278715222,3,,2023-05-07
15970906700,9,,2023-06-21
15970906700,11,70866190433,2023-09-09
15970906700,10,,2023-02-11
62931714700,10,,2023-04-01
62931714700,2,78592121377,2023-01-26
59339648088,2,33411579800,2023-06-22
59339648088,1,,2023-07-15
89673988244,11,,2023-12-06
89673988244,9,12718250400,2023-11-26
89673988244,16,,2023-08-18
75887163200,5,,2023-10-22
48621246666,2,83234407355,2023-03-14
13314654600,13,30933613899,2023-03-12
13314654600,16,,2023-07-20
13314654600,8,,2023-06-24
75420248844,4,11579525266,2023-04-08
24431384533,8,,2023-01-17
24431384533,11,46169596099,2023-11-23
22729139622,14,19261215111,2023-08-03
22729139622,15,15634390188,2023-10-19
22729139622,5,72566738688,2023-02-10
65138732588,3,61788929933,2023-09-07
65138732588,4,,2023-10-06
82063632388,5,,2023-09-29
82063632388,7,46555419200,2023-08-30
93209270499,7,,2023-02-14
93209270499,5,,2023-05-20
93209270499,9,22494948600,2023-07-30
58139192799,12,,2023-01-21
58139192799,5,,2023-11-01
70039098477,16,20866440511,2023-02-18
70039098477,1,68687160522,2023-04-25
46613124499,15,92055568744,2023-11-29
46613124499,3,64957519900,2023-05-11
46613124499,10,35094452600,2023-08-30
36700729500,4,,2023-12-08
36700729500,1,,2023-03-20
43790162777,15,,2023-07-29
43790162777,16,,2023-06-28
43790162777,13,69283827088,2023-12-03
40599486244,9,45030425211,2023-04-08
40599486244,16,90981096166,2023-11-20
40599486244,12,81099798822,2023-05-19
88989037233,11,97177781833,2023-10-14
70115799311,10,,2023-03-06
31329017333,5,37595119100,2023-05-24
31329017333,16,69584194300,2023-12-27
31329017333,13,18022455022,2023-04-26
91134832344,5,,2023-02-19
91134832344,4,,2023-05-15
95302024900,7,89159281722,2023-06-12
95302024900,13,85874831966,2023-12-07
44665070155,14,,2023-09-21
34741391422,13,10091554233,2023-02-05
67706726777,10,,2023-10-25
67706726777,13,74850960011,2023-09-18
67706726777,8,,2023-04-05
83622275755,11,,2023-11-29
83622275755,9,,2023-06-28
49476918244,10,61083155044,2023-02-16
49476918244,9,,2023-06-26
46875952788,6,,2023-06-16
46875952788,15,,2023-03-30
46875952788,12,66641371600,2023-11-15
18086170888,1,,2023-03-13
18086170888,3,,2023-02-14
57828890399,6,67785945600,2023-06-23
57828890399,14,20399719800,2023-11-07
57828890399,16,60273944555,2023-12-20
89335537466,11,77363450233,2023-11-16
89640407599,8,43578104500,2023-03-30
89640407599,2,,2023-07-01
29487753455,3,,2023-09-04
89486893800,9,,2023-05-26
89486893800,7,18914649499,2023-03-22
89486893800,10,73826227977,2023-11-15
14074540488,8,86052944933,2023-12-06
14074540488,12,26609244222,2023-05-13
14074540488,15,77618925555,2023-04-19
62573287644,9,12733377511,2023-12-02
62573287644,8,89260129644,2023-07-19
62573287644,12,,2023-06-08
77978470700,16,68502583899,2023-05-20
95962489011,9,,2023-10-05
95962489011,8,,2023-01-12
75082937622,6,,2023-07-11
75082937622,14,,2023-10-24
21583528255,15,82724385422,2023-02-27
10966797011,3,,2023-01-11
10966797011,4,,2023-12-24
10966797011,16,,2023-12-18
57518855466,5,,2023-11-18
77998388922,8,84289726211,2023-08-14
77998388922,1,65436837088,2023-11-05
77998388922,16,,2023-09-24
79871004988,12,19461720900,2023-02-09
45505506511,2,61035934411,2023-11-12
45505506511,16,12539539455,2023-06-20
27203455555,11,,2023-12-22
27203455555,5,,2023-11-28
15623788133,6,,2023-01-03
15623788133,10,,2023-01-13
15623788133,7,,2023-02-04
99605945133,7,,2023-02-21
99605945133,12,92027594300,2023-07-23
79997121322,7,,2023-08-12
79997121322,8,,2023-07-02
90974207766,13,,2023-01-15
81727376888,1,,2023-03-20
81727376888,5,19461720900,2023-11-18
81727376888,3,,2023-03-18
84599894022,15,26728367799,2023-11-05
13343871688,3,,2023-05-16
66612629900,1,,2023-12-17
66612629900,11,42195074777,2023-04-11
68576522877,4,,2023-09-21
49016503199,9,79637827266,2023-05-21
62127432822,8,,2023-02-05
96295450633,1,,2023-04-11
40527503900,13,85534016933,2023-03-08
40527503900,11,,2023-09-16
93872625700,16,,2023-03-27
46100415611,7,,2023-09-14
46100415611,16,29386160822,2023-06-25
46100415611,3,62310155488,2023-01-08
73774631044,7,71165215344,2023-03-28
71852050855,12,96428848955,2023-12-28
71852050855,13,48645636755,2023-07-17
43734634688,15,,2023-03-12
43734634688,12,85842056244,2023-02-04
54463748277,1,98845217944,2023-09-25
54463748277,12,,2023-06-19
54463748277,6,,2023-08-28
60969828911,8,23987310577,2023-12-07
66319707766,15,,2023-09-10
14233486566,8,80268723988,2023-03-09
14233486566,6,,2023-06-16
14233486566,2,29060061499,2023-10-16
71542503488,4,,2023-09-11
21870470322,3,66737788900,2023-10-19
23021208500,11,32792235399,2023-04-19
86982193811,5,,2023-12-16
38880411633,5,58229062577,2023-06-26
38880411633,12,61079743855,2023-08-07
38880411633,13,61782891700,2023-06-09
95641817711,5,,2023-11-25
95641817711,14,31734731677,2023-10-03
95641817711,3,75368460533,2023-11-03
96405149500,2,72610296455,2023-05-19
20566591588,12,76519110088,2023-04-02
20566591588,9,,2023-11-22
20566591588,15,57157516677,2023-05-22
75233835133,13,68429875044,2023-02-28
75233835133,1,,2023-11-01
75233835133,4,50485495977,2023-10-15
65525204411,9,33013294899,2023-12-04
65525204411,10,,2023-01-09
21699864644,2,77496433200,2023-08-07
51300332566,3,,2023-03-28
51300332566,1,72490338755,2023-08-08
51300332566,14,79208361400,2023-08-24
98789735499,5,13323773199,2023-07-06
66637067644,4,,2023-07-10
17963732300,1,15244174599,2023-12-21
17963732300,4,,2023-03-04
24367786988,1,92366837388,2023-03-16
24367786988,12,,2023-08-13
83617373400,9,,2023-09-03
42356055266,13,,2023-09-28
42356055266,16,,2023-08-27
28080240611,8,,2023-04-28
28080240611,7,,2023-02-28
28080240611,3,,2023-09-17
85250271111,16,,2023-05-17
85250271111,8,,2023-05-19
85954771833,16,59214707755,2023-04-19
85954771833,10,95850534466,2023-07-16
85954771833,12,49243143822,2023-11-29
91706236866,16,,2023-01-08
52116818000,15,30357482099,2023-11-21
52116818000,6,98423141544,2023-10-04
52116818000,3,,2023-01-31
65887188888,16,,2023-04-08
34407383888,6,,2023-12-05
34407383888,16,80082688911,2023-08-11
34407383888,5,,2023-12-24
92918413744,16,59889404477,2023-09-07
92918413744,3,65188946522,2023-04-10
92918413744,7,,2023-06-12
71529529900,9,,2023-12-31
70131173744,8,76997786000,2023-09-18
70131173744,15,,2023-12-12
70131173744,3,75873151444,2023-01-17
70552022300,3,90859235900,2023-05-17
70552022300,1,,2023-09-27
70552022300,15,60359407655,2023-02-11
35171728477,8,,2023-12-11
35171728477,13,,2023-11-27
35171728477,10,15647103866,2023-08-22
53253414999,3,48550857744,2023-06-03
53253414999,7,90408196966,2023-06-16
11130703077,2,74500506333,2023-04-30
17798989677,1,,2023-05-01
82571413800,4,47962076355,2023-01-01
42227500933,7,,2023-05-25
42227500933,2,29423533333,2023-12-19
42227500933,16,29758307933,2023-07-07
79929912066,7,20941390500,2023-04-24
79929912066,2,,2023-01-01
79929912066,1,10681525755,2023-10-08
52190887933,2,,2023-04-19
81907393011,13,,2023-11-28
81907393011,16,,2023-12-30
81907393011,14,72354535833,2023-03-23
92026107200,3,,2023-12-15
92026107200,1,,2023-03-22
60650418666,12,76685724900,2023-10-16
60650418666,16,94444400799,2023-02-08
40517682522,6,,2023-08-19
40517682522,8,73599373611,2023-04-19
40517682522,12,51075470100,2023-12-19
46156382300,4,,2023-11-20
13044016500,14,,2023-06-19
13044016500,3,49299009133,2023-01-02
13044016500,4,,2023-02-10
97671802900,14,,2023-03-30
54133385544,4,,2023-11-09
45534321022,12,,2023-10-28
45534321022,11,34024373500,2023-07-09
36060767899,3,,2023-04-28
36060767899,9,,2023-09-17
36060767899,4,47196960311,2023-09-12
71130580199,12,33646511911,2023-06-06
11672601633,3,,2023-06-30
11672601633,10,48639382500,2023-01-10
11672601633,1,,2023-11-05
84672951122,3,45740358033,2023-03-16
84672951122,16,,2023-02-05
54038095899,15,,2023-11-03
54038095899,8,,2023-03-05
54038095899,1,,2023-09-16
12066682455,13,,2023-10-01
12066682455,14,,2023-03-07
12066682455,15,,2023-12-19
32769382433,10,84145883799,2023-02-13
32769382433,9,,2023-04-20
38897599122,15,,2023-11-25
91321347700,10,,2023-03-18
91321347700,3,28860457999,2023-09-19
77749398300,5,,2023-05-02
46946429600,4,53339696633,2023-11-08
86659768844,14,29773926700,2023-09-01
46561893400,15,15899609633,2023-08-27
53608863588,11,32139417199,2023-07-02
47849382733,16,,2023-09-16
47849382733,3,96740655633,2023-06-22
17668948100,10,31624146955,2023-05-03
17668948100,12,,2023-01-27
26827143822,9,82801373600,2023-12-22
78608273522,12,,2023-02-06
78608273522,9,52771191677,2023-09-19
63409809966,1,28279840244,2023-09-25
63409809966,11,42901280766,2023-03-03
63409809966,15,,2023-12-09
61862874833,15,,2023-04-13
61862874833,3,89890800100,2023-09-07
58963095033,11,,2023-02-27
17487696699,3,,2023-03-17
17487696699,15,94232231922,2023-08-08
17487696699,16,82856082200,2023-08-01
44323406144,7,79106537355,2023-10-08
44323406144,14,92075222333,2023-08-20
57571670099,3,96786198066,2023-10-01
57571670099,6,93908540088,2023-06-22
91234757499,14,43085676611,2023-07-29
91234757499,9,93901509499,2023-05-28
57057076811,16,49552174944,2023-05-22
57057076811,4,,2023-03-17
57057076811,11,,2023-10-06
24169984711,6,31597811600,2023-08-29
24169984711,10,,2023-02-25
21719000677,2,37213811300,2023-09-25
21719000677,7,87801863355,2023-12-03
64947491355,11,62448236488,2023-04-13
64947491355,13,71948486944,2023-08-24
64947491355,4,,2023-10-07
83306847177,15,,2023-04-10
83306847177,2,63443947300,2023-09-16
37555964900,16,23858723666,2023-01-30
37555964900,6,,2023-12-21
67157608533,15,59693191200,2023-03-01
67157608533,9,,2023-07-30
67157608533,2,14766754300,2023-09-13
